fname,created_dttm
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210203_115835.jpg,2021-02-03T11:58:36Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210204_115834.jpg,2021-02-04T11:58:35Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210205_115833.JPG,2021-02-05T11:58:34Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210206_115832.jpg,2021-02-06T11:58:33Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210207_115831.JPG,2021-02-07T11:58:32Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210208_115830.JPG,2021-02-08T11:58:31Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210209_115829.jpg,2021-02-09T11:58:30Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210210_120328.JPG,2021-02-10T12:03:28Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210211_115827.JPG,2021-02-11T11:58:27Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210212_115825.JPG,2021-02-12T11:58:26Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210213_115824.JPG,2021-02-13T11:58:25Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210214_115823.JPG,2021-02-14T11:58:24Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210215_115822.JPG,2021-02-15T11:58:23Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210216_115821.JPG,2021-02-16T11:58:22Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210217_115820.JPG,2021-02-17T11:58:21Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210218_115819.JPG,2021-02-18T11:58:20Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210219_115818.JPG,2021-02-19T11:58:19Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210220_115817.JPG,2021-02-20T11:58:17Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210221_115816.JPG,2021-02-21T11:58:16Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210222_115815.JPG,2021-02-22T11:58:15Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210223_115814.JPG,2021-02-23T11:58:14Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210224_115813.JPG,2021-02-24T11:58:13Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210225_120311.JPG,2021-02-25T12:03:12Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210226_115810.JPG,2021-02-26T11:58:11Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210227_115809.jpg,2021-02-27T11:58:10Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210228_115808.JPG,2021-02-28T11:58:09Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210301_115807.JPG,2021-03-01T11:58:08Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210302_115806.JPG,2021-03-02T11:58:07Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210303_115805.jpg,2021-03-03T11:58:06Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210304_115804.JPG,2021-03-04T11:58:05Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210305_115803.JPG,2021-03-05T11:58:04Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210305_120503.JPG,2021-03-05T12:05:04Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210306_120502.JPG,2021-03-06T12:05:03Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210307_120001.JPG,2021-03-07T12:00:02Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210308_120000.JPG,2021-03-08T12:00:00Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210309_115959.JPG,2021-03-09T11:59:59Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210310_115958.JPG,2021-03-10T11:59:58Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210311_115957.JPG,2021-03-11T11:59:57Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210312_115956.JPG,2021-03-12T11:59:56Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210313_115954.JPG,2021-03-13T11:59:55Z
