,old_name,new_name,status,note,old_folder
68,01130139.JPG,Hbwtr_w4_20210113_115853.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
69,01140141.JPG,Hbwtr_w4_20210114_115852.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
70,01150143.JPG,Hbwtr_w4_20210115_115850.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
71,01160145.JPG,Hbwtr_w4_20210116_115849.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
72,01170147.JPG,Hbwtr_w4_20210117_115848.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
73,01180149.JPG,Hbwtr_w4_20210118_115847.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
74,01190151.JPG,Hbwtr_w4_20210119_115846.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
75,01200153.JPG,Hbwtr_w4_20210120_115845.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
76,01210155.JPG,Hbwtr_w4_20210121_115844.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
77,01220157.JPG,Hbwtr_w4_20210122_115842.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
78,01230159.JPG,Hbwtr_w4_20210123_115841.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
79,01240161.JPG,Hbwtr_w4_20210124_115840.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
80,01250163.JPG,Hbwtr_w4_20210125_115839.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
81,01260165.JPG,Hbwtr_w4_20210126_115838.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
82,01270167.JPG,Hbwtr_w4_20210127_115837.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
83,01280169.JPG,Hbwtr_w4_20210128_115836.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
84,01290171.JPG,Hbwtr_w4_20210129_115835.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
85,01300173.JPG,Hbwtr_w4_20210130_115834.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
